slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
171475255,1101,60696476,1.2645099166666667,6204094,H68e2XUdXK3j8ibFv61VymvHn6AEhHPHLZSmbbQnZp1M,139,0.12624886466848,54663,7598188,820737
171483896,2420,34036509,0.7090939375,6565984,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,106,0.043801652892562,14736,1561968,160196
171492537,1848,57186958,1.1913949583333334,7061988,5Xw375deW9dr7U4Zas3MC1rLAT32Dazv3K12EbnWkf8f,140,0.075757575757576,39886,5583976,267569
171501178,1015,59727211,1.2443168958333333,2808273,Ei8VLKR3chZAhJzWwj8PopeuedpQiths2ovVCQ2BCvK7,172,0.16945812807882,8149,1401546,34697
171509819,193,23936662,0.49868045833333335,1787067,H4e9pdN7r9oiWJDFk9MRV9j3S5SSQNYYs8YWd4TR7tt1,79,0.40932642487047,38027,3004133,502334
171518460,996,20324609,0.42342935416666666,2740168,AopYZ35QJ3V2dxie66TB8SGcaKNoCyRnn5Jf37WS6KiS,64,0.06425702811245,12818,820336,73233
171527101,2408,35221093,0.7337727708333334,6273792,6hPGtyetcZPrG3wVDUZJjCwn59Eum3roPzkd1nx2B3oV,91,0.037790697674419,10578,962584,29000
171535742,0,0,0,0,9cDdzkrimGrsNVKKRtN2Q1ydBwDxjDtPGyyLRgnUYyAQ,,,,,
171544383,1490,40625066,0.8463555416666667,3883061,Cs23cJMRuahuKh5oNhVmLhM2UrtaZLULLF3HqrxfTnHc,115,0.077181208053691,7749,891121,17500
171553024,4586,46141611,0.9612835625,12485593,7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,143,0.031181857828173,19274,2756185,619500
171561665,1003,65135566,1.3569909583333333,2900024,6aCna9ZopJJUuTijkuKLmd57tnMco8KQBH7J8ydCjT2r,200,0.19940179461615,8925,1785047,20000
171570306,0,0,0,0,9hQqNe3DQTiwhspatewA8EXhz12e6sq5UJVJ2qNRwnTf,,,,,
